codigo,nivel,codigo_padre,descripcion,unidad_medida,plantilla,activa,origen
25004001.1021,10,25004001,ALC PLU RED TUB NOVAF 500mm,ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1022,10,25004001,"ALC PLU RED TUB NOVAF 24""",ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1023,10,25004001,"ALC PLU RED TUB NOVAF 27""",ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1024,10,25004001,"ALC PLU RED TUB NOVAF 30""",ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1025,10,25004001,"ALC PLU RED TUB NOVAF 33""",ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1026,10,25004001,"ALC PLU RED TUB NOVAF 36""",ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1027,10,25004001,"ALC PLU RED TUB NOVAF 39""",ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1028,10,25004001,"ALC PLU RED TUB NOVAF 42""",ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1029,10,25004001,"ALC PLU RED TUB NOVAF 32""",ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1030,10,25004001,"DESAGUES TUBERIA PVC 2-3-4""",ML,URBANISMO_INTERNO,true,MAESTRO
25004001.1031,10,25004001,"DESAGUES TUBERIA PVC 6""",ML,URBANISMO_INTERNO,true,MAESTRO
25004002,8,25004000,SILLA YEE,,URBANISMO_INTERNO,true,MAESTRO
25004002.1001,10,25004002,ALC SAN SILLA YEE,UN,URBANISMO_INTERNO,true,MAESTRO
25004002.1002,10,25004002,ALC PLU SILLA YEE,UN,URBANISMO_INTERNO,true,MAESTRO
25004999,8,25004000,ACTIVIDADES VARIAS,,URBANISMO_INTERNO,true,MAESTRO
25004999.1001,10,25004999,ALCAN SAN ACTIVIDAD VARIAS,UN,URBANISMO_INTERNO,true,MAESTRO
